"b_a","M_0","V_0","K_0","R_0","b_q","b_p","p_S","p_H_cond_S","phi_E","phi_U","phi_S","h_V","gamma","N_0","E_0","z_0","C_0","social_distancing_start_time","quarantine_start_time","PCR_sens","sigma_M","beta_w_3","beta_w_2","beta_w_1","beta_w_0","g_0","g_F","sigma_epsilon","G_w_y_scaling","msg","iter_num","param_index","loglik","nfail","trace_num","loglist.se","Antibody_Mean_LL","Antibody_LL_SE","Median_Herd_Immunity","combo_num","sim_subset_index","duration_of_symp_1","duration_of_symp_2","duration_of_symp","gamma_total","Beta","R_0_P","R_0_A","R_0_S_1","R_0_S_2","R_0_NGM","b_a_times_b_p","b_a_plus_b_p"
0,5,13,14,7.06199875313583,0.240193306400293,0.795798387126882,0.157427484330664,0.174981149855949,1.09,1.09,0.2,0.125,58.078038090736,8e+06,65553.6260602989,10267.5800355768,0,17,22,0.9,0.276423484975708,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",1,10,-627.320193073544,NA,NA,0.00820675951596981,-24.7561563094731,0.00477684280022745,0.193356375,3,1,5,0.0172182124753885,5.01721821247539,0.199313635096334,1.40755264253328,1.02764047956345,0,1.10793735788496,0.0031477275578966,2.13872556500631,0,0.795798387126882
0,5,13,14,6.21523667190825,0.239522656039216,0.923363165543288,0.174094846874239,0.153289151735696,1.09,1.09,0.2,0.125,8.97850776172373,8e+06,59637.113167384,11293.4624451675,0,17,22,0.9,0.275078721909034,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",1,11,-627.209308263593,NA,NA,0.0104632512145053,-26.1259057029804,0.00776452956876349,0.1749998125,4,1,5,0.111377082532924,5.11137708253292,0.195641993117137,1.21596129018685,1.03006776705049,0,1.05846297310041,0.0199634974005558,2.10849423755146,0,0.923363165543288
0.0689655172413793,5,13,14,5.98452066814789,0.220478228225786,0.891394895977932,0.173587920197613,0.175705291503027,1.09,1.09,0.2,0.125,35.3012044092684,8e+06,56854.6194446078,9411.45599924949,0,17,22,0.9,0.276805359764104,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",2,43,-628.103114945961,NA,NA,0.00780833798144599,-26.0806417833183,0.00811864991136262,0.1775874375,11,1,5,0.0283276453802083,5.02832764538021,0.198873277662953,1.19016124051626,0.973306105676104,0.339159871060423,1.03298807220514,0.00482412210069312,2.35027817104236,0.0614755100674436,0.960360413219311
0.0689655172413793,5,13,14,6.0988220522765,0.234374552982329,0.940248982477715,0.148860980540973,0.156954727123793,1.09,1.09,0.2,0.125,6.33321824194053,8e+06,63566.3358495927,13443.0344642907,0,17,22,0.9,0.270932682115006,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",2,44,-627.430014432908,NA,NA,0.0088398919743966,-24.4168864440368,0.00239017644569542,0.199832875,13,1,5,0.15789760620875,5.15789760620875,0.193877443165266,1.18242402581531,1.0199752175505,0.34703697445422,0.880083999490359,0.0234304464858295,2.27052663798091,0.0648447574122562,1.00921449971909
0.103448275862069,5,13,14,6.84552549221221,0.22372193265415,0.793227797031236,0.129608222271289,0.181804199978749,1.09,1.09,0.2,0.125,48.7052481570712,8e+06,71702.5021160095,12381.9405908893,0,17,22,0.9,0.275218422981111,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",1,60,-628.131394629998,NA,NA,0.0108388842592913,-25.5615633591557,0.00639360154517994,0.2380878125,15,1,5,0.0205316683075932,5.02053166830759,0.199182091871377,1.36350608749766,0.992266908279314,0.61385404522811,0.883608000283265,0.00296873286577016,2.49269768665646,0.0820580479687486,0.896676072893305
0.137931034482759,5,13,14,5.90549935739566,0.216898073278578,0.8785885202124,0.149422852722276,0.163161845481456,1.09,1.09,0.2,0.125,17.7202412752522,8e+06,63878.9340577021,12506.5046945129,0,17,22,0.9,0.275140569681502,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",2,76,-628.530549873068,NA,NA,0.00831409759051305,-24.3423879147274,0.00210704295364227,0.2090316875,19,1,5,0.0564326401919021,5.0564326401919,0.19776788719607,1.16791813074989,0.941394002041081,0.685106532349777,0.872568294213584,0.0082414051781662,2.50731023378261,0.121184623477573,1.01651955469516
0.137931034482759,5,13,14,5.52374278712026,0.216857206255868,0.887037778119812,0.166028970574552,0.167764433822269,1.09,1.09,0.2,0.125,21.5157504489243,8e+06,58889.7719360992,11020.7112085704,0,17,22,0.9,0.275358206123772,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",1,78,-627.566588667172,NA,NA,0.00981290681253116,-25.7030518901578,0.00491917156304232,0.1798749375,20,1,5,0.0464775794074148,5.04647757940741,0.198158018987459,1.09457392809202,0.890760023084969,0.629546859029763,0.908654912494305,0.00702940794331143,2.43599120255235,0.122350038361354,1.02496881260257
0.172413793103448,5,13,14,5.24944192715554,0.20885650949493,0.967796059437562,0.161383312013317,0.136846449666416,1.09,1.09,0.2,0.125,1075.94599881058,8e+06,52380.5099638798,16108.4829917969,0,17,22,0.9,0.277982089725145,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",1,94,-628.590800778975,NA,NA,0.00870652451404324,-24.9082125385499,0.00438742689984964,0.186902,25,1,5,0.00092941467425453,5.00092941467425,0.199962830322239,1.04969326536625,0.932008262238167,0.758870939313248,0.847014878814394,0.000135899738582089,2.53802998010439,0.1668613895582,1.14020985254101
0.206896551724138,5,13,14,5.38865556017235,0.213830965195044,0.865690703473383,0.148585510101898,0.174688878480898,1.09,1.09,0.2,0.125,14.7639152894156,8e+06,66910.2120958419,11519.1244607725,0,17,22,0.9,0.27534461089738,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",1,110,-627.797260049802,NA,NA,0.0036241595637311,-24.5179640187039,0.00203092817932725,0.205518375,28,1,5,0.0677327104902119,5.06773271049021,0.197326902804088,1.06332671196684,0.844506467251937,0.93655010696304,0.789974709512833,0.00883200561232115,2.57986328934013,0.179108421408286,1.07258725519752
0.241379310344828,5,13,14,8.12530387078028,0.16114350405931,0.322087004016681,0.157419812789716,0.156737887988742,1.09,1.09,0.2,0.125,79.534133091616,8e+06,52522.512773672,12908.1947921739,0,17,22,0.9,0.278436869374653,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",2,121,-628.612299602341,NA,NA,0.00814280561576887,-24.852192350074,0.00376124054598284,0.19128825,31,1,5,0.01257321807793,5.01257321807793,0.199498332791127,1.62098457564195,0.478989050941072,1.64839076042512,1.27587544216287,0.00270549857828267,3.40596075210734,0.0777451389005783,0.563466314361509
