"G_w_y_scaling","M_0","V_0","K_0","R_0","b_q","b_a","b_p","p_S","p_H_cond_S","phi_E","phi_U","phi_S","h_V","gamma","N_0","E_0","z_0","C_0","social_distancing_start_time","quarantine_start_time","PCR_sens","sigma_M","beta_w_3","beta_w_2","beta_w_1","beta_w_0","g_0","g_F","sigma_epsilon","msg","iter_num","param_index","loglik","nfail","trace_num","loglist.se"
0,5,13,14,139.040347326132,0.427707524507163,0.603087483795964,0.243010909585608,0.726952165684119,0.596301884438139,1.09,1.09,0.2,0.125,70.0501266185517,8e+06,13106.7572246727,21516.4643086582,0,17,22,0.9,1.30519812602265,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,"mif1",1,1,-762.981084088914,,,0.000119014750968689
0,5,13,14,6.61071706705525,0.191462032503222,0.0680342633575107,0.983647644468625,0.166194407702528,0.329705686745698,1.09,1.09,0.2,0.125,461.42996537643,8e+06,46621.1147521283,7570.37262078807,0,17,22,0.9,0.402580618467723,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,"mif1",2,1,-688.178873085405,,,0.00139090296248496
0,5,13,14,317.003452313507,0.185963215620281,0.861402497655474,0.487757817665805,0.942881629079901,0.750696427657692,1.09,1.09,0.2,0.125,301.601122295749,8e+06,27480.4070267137,2792.82811926411,0,17,22,0.9,1.31694067923799,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,"mif1",1,2,-763.152290868524,,,0.000100492918654747
0,5,13,14,21.0640041052542,0.0758323085952463,0.813358913917311,0.00425679036898056,0.0676618994705464,0.537770107766677,1.09,1.09,0.2,0.125,50.238948844086,8e+06,798.726940971889,10093.8208251521,0,17,22,0.9,0.432369226640322,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,"mif1",2,2,-686.388776562776,,,0.00199739861166436
0,5,13,14,8.45221604381335,0.126046882372962,0.30831557825652,0.344705747850458,0.208657446641933,0.945993732364759,1.09,1.09,0.2,0.125,30.7796523095213,8e+06,17799.2091369,12359.0923105345,0,17,22,0.9,0.418618825500834,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,"mif1",1,3,-690.381519131578,,,0.00110629489559809
0,5,13,14,5.02205464054704,0.145203649326067,0.940662708111361,0.974122078089624,0.0701113902880439,0.789452848627117,1.09,1.09,0.2,0.125,1012.14671053834,8e+06,47471.2241341393,25034.7764358503,0,17,22,0.9,0.435768380069275,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,"mif1",2,3,-685.966600161133,,,0.000779031492729245
0,5,13,14,4.43314212681717,0.122391868274677,0.692835780034702,0.136383465845123,0.73731694192587,0.972309614743359,1.09,1.09,0.2,0.125,21.2537014372201,8e+06,6707.39483248075,5784.48116610918,0,17,22,0.9,0.40726468021209,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,"mif1",1,4,-692.455558520153,,,0.00154644323270924
0,5,13,14,4.35927695736836,0.157161797411885,0.788181442329463,0.377198366186537,0.133819495638813,0.269829127508793,1.09,1.09,0.2,0.125,263.074530742938,8e+06,45191.9817860454,26686.74221554,0,17,22,0.9,0.43198727257801,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,"mif1",2,4,-685.735049591392,,,0.000603697809824892
0,5,13,14,102.335086320145,0.210770242097055,0.0550054015960308,0.84483037671489,0.886955623531625,0.386299019791785,1.09,1.09,0.2,0.125,63.0725274864582,8e+06,25831.0627973197,11763.4678529206,0,17,22,0.9,1.31915408825994,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,"mif1",1,5,-763.1862909332,,,0.000198111196016736
0,5,13,14,35.2182091518491,0.0590881532241922,0.52713684364531,0.115962754784455,0.0707829772902927,0.53034595545995,1.09,1.09,0.2,0.125,22.7380555671056,8e+06,9825.39259336658,3255.36617444507,0,17,22,0.9,0.428712426738172,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,"mif1",2,5,-684.378116256325,,,0.00243836376226428
0,5,13,14,1.9991020558797,0.233614938957513,0.45280621575878,0.312302634557743,0.962153513881562,0.851736583760971,1.09,1.09,0.2,0.125,228.702151646675,8e+06,30110.3225451707,6338.55765393048,0,17,22,0.9,0.476219009433546,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,"mif1",1,6,-692.420010576877,,,0.000725046027048271
