"b_p","M_0","V_0","K_0","R_0","b_q","b_a","p_S","p_H_cond_S","phi_E","phi_U","phi_S","h_V","gamma","N_0","E_0","z_0","C_0","social_distancing_start_time","quarantine_start_time","PCR_sens","sigma_M","beta_w_3","beta_w_2","beta_w_1","beta_w_0","g_0","g_F","sigma_epsilon","G_w_y_scaling","msg","iter_num","param_index","loglik","nfail","trace_num","loglist.se"
0,5,13,14,5.21312196738882,0.130880497081216,0.868004452153326,0.139199994730438,0.205380070652113,1.09,1.09,0.2,0.125,65.1529290137243,8e+06,59333.9101545245,10100.1400176287,0,17,22,0.9,0.278489864443111,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",1,11,-629.189265802562,,,0.00689098260315531
0,5,13,14,279.937817387199,0.717253383168704,0.189645254060898,0.439345809403127,0.29812196389372,1.09,1.09,0.2,0.125,223.146645574099,8e+06,15221.4820075031,13071.2822656266,0,17,22,0.9,1.28551695697186,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",2,11,-758.855797712556,,,0.000385760136125116
0,5,13,14,12.6057352293916,0.105077293681085,0.920461345053722,0.0631487203701319,0.608797374953694,1.09,1.09,0.2,0.125,2199.31793387439,8e+06,38190.0999301632,9999.21160706199,0,17,22,0.9,0.292421122274071,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",1,12,-636.842643995038,,,0.00721579206767524
0,5,13,14,5.16211980610182,0.116188980131761,0.0116732761932081,0.735214059537468,0.136424843563856,1.09,1.09,0.2,0.125,611.768585281517,8e+06,9973.42933683453,3658.30670196813,0,17,22,0.9,0.281793672810532,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",2,12,-630.747693664931,,,0.00655962398648998
0,5,13,14,8.29779487546174,0.0446245602254754,0.113323416622873,0.984547693683351,0.213426217878093,1.09,1.09,0.2,0.125,43.3521444192482,8e+06,9659.7792019204,5325.97108480588,0,17,22,0.9,0.429829277829008,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",1,13,-679.111987109339,,,0.00413706181419207
0,5,13,14,16.1799841211535,0.123832683387336,0.660419278622783,0.0610678266749659,0.595011386937287,1.09,1.09,0.2,0.125,115.209601382475,8e+06,41699.6372366986,12404.3562106547,0,17,22,0.9,0.294728797095018,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",2,13,-638.038827614652,,,0.0105956017654558
0,5,13,14,10.2379826125464,0.0675827373207813,0.890479772693033,0.112108807946874,0.769639975232228,1.09,1.09,0.2,0.125,815.817379675655,8e+06,32065.8545384881,3154.0717315169,0,17,22,0.9,0.299506223393012,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",1,14,-635.61706395907,,,0.00649690967786433
0,5,13,14,12.5086444407445,0.0882214501132939,0.945801963412181,0.0671593562373642,0.633281120913866,1.09,1.09,0.2,0.125,6.61340718735313,8e+06,37556.9406428877,7089.24240212515,0,17,22,0.9,0.290068901165901,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",2,14,-633.498113945873,,,0.0084904802010647
0,5,13,14,20.5742267561349,0.0780585972724153,0.325425930592822,0.441698170104832,0.0996705920360328,1.09,1.09,0.2,0.125,12.8897003375303,8e+06,301.815564769978,16465.7582004828,0,17,22,0.9,0.441200614077776,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",1,15,-704.720360852142,,,0.00476935641922666
0,5,13,14,20.351837360196,0.112572501721177,0.543544710308405,0.0604521735620419,0.630147479984259,1.09,1.09,0.2,0.125,196.175803490915,8e+06,46859.3350672301,8567.99673801109,0,17,22,0.9,0.288054540176124,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",2,15,-640.821514714896,,,0.00806784896202855
0,5,13,14,22.7462819301971,0.0716605398654103,0.566830632385821,0.0767200505798457,0.572378650482004,1.09,1.09,0.2,0.125,35.0301066097368,8e+06,6802.85806696496,12610.6012956352,0,17,22,0.9,0.309163023888512,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",1,16,-644.535235391077,,,0.0101942839772919
0,5,13,14,20.8286230781584,0.112718640599938,0.538266480020164,0.0630140843439944,0.567726962649573,1.09,1.09,0.2,0.125,40.9936855604349,8e+06,30213.6529380354,12893.2297957524,0,17,22,0.9,0.293324995329128,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",2,16,-634.554904881544,,,0.00580087300514013
0,5,13,14,14.9319021855836,0.0996648836244665,0.815420191811892,0.0634866043188243,0.593297166217297,1.09,1.09,0.2,0.125,864.730841924092,8e+06,27105.599093044,11511.9729293714,0,17,22,0.9,0.293326046020844,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",1,17,-638.073067189263,,,0.00836850460470306
0,5,13,14,9.79175965859368,0.11904707050928,0.98702127221403,0.059616554193763,0.680863817632444,1.09,1.09,0.2,0.125,314.377647834189,8e+06,67668.9835949563,6612.84311850884,0,17,22,0.9,0.292137620447867,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",2,17,-633.22304516618,,,0.00994462742223003
0.0344827586206897,5,13,14,17.3844882165179,0.0447809179955768,0.709318233251549,0.140333418947575,0.628593808655152,1.09,1.09,0.2,0.125,24.6594515500274,8e+06,7134.15263677378,5457.80250420545,0,17,22,0.9,0.302401630803233,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",1,18,-646.034836984393,,,0.0102958370191298
0.0344827586206897,5,13,14,16.1168000796368,0.0747541304110976,0.147115013086328,0.504037728873257,0.106964566423173,1.09,1.09,0.2,0.125,1867.30425887632,8e+06,36515.2474706931,13536.6862822566,0,17,22,0.9,0.535005199693641,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",2,18,-687.042898707999,,,0.00262507697016851
0.0344827586206897,5,13,14,12.2029678758469,0.127009219563325,0.141108018290081,0.235934742755092,0.960424878705514,1.09,1.09,0.2,0.125,861.387053852795,8e+06,42995.6716377348,668.075902757141,0,17,22,0.9,0.310647881787784,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",1,19,-647.568652272007,,,0.00921329668964594
0.0344827586206897,5,13,14,17.2414399699278,0.0607462208217832,0.27570819919879,0.39155948398539,0.218212646511203,1.09,1.09,0.2,0.125,99.8410676364879,8e+06,35715.3866476534,5933.63353259049,0,17,22,0.9,0.424329610708281,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",2,19,-661.698210167405,,,0.00316658665892926
0.0344827586206897,5,13,14,6.11550639524688,0.120798155653267,0.64100959742129,0.225115512710575,0.143700590237947,1.09,1.09,0.2,0.125,111.071089097901,8e+06,23033.8691402158,13544.9959977344,0,17,22,0.9,0.282816813434575,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",1,20,-631.849957349467,,,0.0103166947165981
0.0344827586206897,5,13,14,27.2591320946841,0.141585097751002,0.00685144249512198,0.127302437672689,0.177882490740003,1.09,1.09,0.2,0.125,70.2052574705167,8e+06,62076.8463234022,14737.8619017561,0,17,22,0.9,0.27791989258338,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",2,20,-629.683457487703,,,0.0121708843504788
0.0344827586206897,5,13,14,5.90577963677253,0.116697538330905,0.625010069181537,0.286909278330094,0.128716669970764,1.09,1.09,0.2,0.125,457.378928163718,8e+06,13724.6696119937,13178.1958592107,0,17,22,0.9,0.284529681715408,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",1,21,-633.139316813334,,,0.0159535860113596
0.0344827586206897,5,13,14,27.7564792261213,0.107709231041662,0.341685825660238,0.0624489130806612,0.623013691327267,1.09,1.09,0.2,0.125,292.912752400584,8e+06,44885.414390315,8169.58465926754,0,17,22,0.9,0.290693323752693,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",2,21,-632.511948646823,,,0.0107456824002985
0.0344827586206897,5,13,14,18.4529861951836,0.0660924301105914,0.49571844613522,0.0982021783046227,0.711813640172662,1.09,1.09,0.2,0.125,241.260899203125,8e+06,28794.4748095018,4200.14818776449,0,17,22,0.9,0.302489369548401,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",1,22,-636.59558330121,,,0.0087302950723458
0.0344827586206897,5,13,14,44.0816091100496,0.125102955958552,0.19166245476774,0.0621646363227935,0.578885261132213,1.09,1.09,0.2,0.125,5.48362322412592,8e+06,47298.095172977,9362.77110360918,0,17,22,0.9,0.294878637039155,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",2,22,-636.11776873382,,,0.0115192223081464
0.0344827586206897,5,13,14,17.2340256245364,0.114324997266858,0.618174402949766,0.0632187939031817,0.59064611632995,1.09,1.09,0.2,0.125,4092.48838872737,8e+06,41059.8423282476,9980.43831845084,0,17,22,0.9,0.297716037316749,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",1,23,-636.437958839957,,,0.0118068095868307
0.0344827586206897,5,13,14,4.07868585737287,0.104685137113597,0.965896788012189,0.991580849289492,0.124536014037008,1.09,1.09,0.2,0.125,420.573467867659,8e+06,3243.75193653475,3956.410150501,0,17,22,0.9,0.28547015735192,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",2,23,-634.285169502799,,,0.00905905797618761
0.0344827586206897,5,13,14,13.8145808125942,0.09485399497515,0.911197479963656,0.0658009439118122,0.580605886924201,1.09,1.09,0.2,0.125,15.5730261231707,8e+06,21799.4596255209,11644.2947362902,0,17,22,0.9,0.299228767020057,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",1,24,-638.641579359719,,,0.0117134949966968
0.0344827586206897,5,13,14,741.937437571424,0.336586472790773,0.982642599049709,0.689498044874611,0.185499659827504,1.09,1.09,0.2,0.125,930.843147831556,8e+06,37626.8242329282,11106.9268808291,0,17,22,0.9,1.28770848555181,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",2,24,-758.763590019799,,,0.000353575749707649
0.0344827586206897,5,13,14,51.1954559686046,0.092267702710194,0.159719485677591,0.0669723222327452,0.632499736476583,1.09,1.09,0.2,0.125,3.62583771072735,8e+06,37041.5230096952,7116.68430178132,0,17,22,0.9,0.290065314519838,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",1,25,-633.795211017011,,,0.00519803781649886
0.0344827586206897,5,13,14,13.8167915376881,0.0762025521828333,0.485521590920313,0.132799355095233,0.806868704095038,1.09,1.09,0.2,0.125,374.389063190615,8e+06,34357.7963257947,2218.1195005897,0,17,22,0.9,0.298442060813432,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",2,25,-637.83738659952,,,0.00727031590532791
0.0344827586206897,5,13,14,8.42364779206851,0.0642085165920461,0.0159929050094249,0.905014958382235,0.109349927826502,1.09,1.09,0.2,0.125,316.656108126817,8e+06,19620.3586824204,15596.307072713,0,17,22,0.9,0.467353796645709,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",1,26,-686.722439152803,,,0.00240626786167387
0.0344827586206897,5,13,14,13.3658619952227,0.12894180470054,0.737020052818804,0.0578660671580664,0.660322129491795,1.09,1.09,0.2,0.125,11.483566774549,8e+06,63081.9204417064,7808.25707935992,0,17,22,0.9,0.289392613611814,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",2,26,-636.022244133425,,,0.00812095978452666
0.0344827586206897,5,13,14,23.1254795249321,0.0562508211191123,0.374117936630746,0.122985708650601,0.725278717437939,1.09,1.09,0.2,0.125,2600.46878666845,8e+06,18689.5501925584,3940.0021756705,0,17,22,0.9,0.300154034507786,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",1,27,-636.965270321408,,,0.00688358762284144
0.0344827586206897,5,13,14,5.27888733505768,0.126417854328601,0.877835387633867,0.166668797891914,0.188717667033248,1.09,1.09,0.2,0.125,402.948633250296,8e+06,46908.7442662184,10060.9915242958,0,17,22,0.9,0.280874044282583,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",2,27,-640.425764483108,,,0.00859060505643175
0.0344827586206897,5,13,14,4.65934167772405,0.129260075116504,0.943783830005039,0.165632871513105,0.195634205073366,1.09,1.09,0.2,0.125,46.4959128847684,8e+06,50766.5210653466,8867.98404085222,0,17,22,0.9,0.282666318814252,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",1,28,-628.961273059517,,,0.00823726469006036
0.0344827586206897,5,13,14,399.841998845391,0.301964702238392,0.330025508466716,0.580911021838259,0.221865625710127,1.09,1.09,0.2,0.125,282.351764646501,8e+06,17762.969232164,11112.0715971235,0,17,22,0.9,1.26825861616505,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",2,28,-758.248204469618,,,0.000457501507958295
0.0344827586206897,5,13,14,5.80549414907538,0.112619526983599,0.132643981978835,0.630862755334699,0.153349831800729,1.09,1.09,0.2,0.125,2240.44054237116,8e+06,10739.2275008402,3944.40796286793,0,17,22,0.9,0.280219039204722,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",1,29,-630.634123978353,,,0.00532425270225124
0.0344827586206897,5,13,14,12.0001474667096,0.0443526659838743,0.0477758816684672,0.935110434246513,0.112963804017533,1.09,1.09,0.2,0.125,57.3059591763865,8e+06,13328.3039410766,6125.54705180003,0,17,22,0.9,0.477565677448847,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",2,29,-665.660371486331,,,0.00246943590418741
0.0344827586206897,5,13,14,5.98491423015122,0.136074533788984,0.740693984613992,0.11923912855215,0.187832975391332,1.09,1.09,0.2,0.125,209.872295137826,8e+06,61288.8669054012,14793.7926354685,0,17,22,0.9,0.277751414889682,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",1,30,-630.135808804299,,,0.00774681723260233
0.0344827586206897,5,13,14,15.6422631198674,0.0862305870757084,0.84566808275543,0.0726464506579695,0.534838093633257,1.09,1.09,0.2,0.125,949.549236341791,8e+06,1148.72437993351,15866.4900968626,0,17,22,0.9,0.315344953518577,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",2,30,-647.353360335306,,,0.0101292540682868
0.0344827586206897,5,13,14,13.8101007852041,0.106988794581605,0.797790812094719,0.0628702345571028,0.612067692291135,1.09,1.09,0.2,0.125,784.355721328017,8e+06,43968.5047754701,8271.02358973876,0,17,22,0.9,0.293062702065667,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",1,31,-635.717790692436,,,0.0130957701730543
0.0344827586206897,5,13,14,5.84806857624912,0.110929534389892,0.598146521832227,0.375613860574188,0.108162561872602,1.09,1.09,0.2,0.125,25.0404324057813,8e+06,420.07511515261,15330.9642356846,0,17,22,0.9,0.296667822892882,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",2,31,-641.061955647522,,,0.0122892510907415
0.0344827586206897,5,13,14,293.14673966136,0.184044365440266,0.955279760370059,0.155657713591135,0.783407441982596,1.09,1.09,0.2,0.125,111.730042099647,8e+06,31578.6089333767,9459.66410931081,0,17,22,0.9,1.26497019517533,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",1,32,-757.871410657331,,,0.00049714252181176
0.0344827586206897,5,13,14,5.83782742094083,0.117319357607875,0.187867430990299,0.575679081448594,0.205179057360449,1.09,1.09,0.2,0.125,135.422041539382,8e+06,16474.6080572068,2337.10690951006,0,17,22,0.9,0.280467841838883,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",2,32,-629.39907987113,,,0.00636481168252428
0.0344827586206897,5,13,14,17.5286615399867,0.0855484799503634,0.72127055929056,0.0701536614055501,0.563335066725457,1.09,1.09,0.2,0.125,46.3134521357973,8e+06,11081.3912512042,13118.4536770119,0,17,22,0.9,0.303258435533371,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",1,33,-639.367808526883,,,0.0092883699459482
0.0344827586206897,5,13,14,13.3620847698897,0.117705338963323,0.85941887673187,0.0639646870252058,0.556422937077884,1.09,1.09,0.2,0.125,152.415023052355,8e+06,31400.8518136575,13155.6198321932,0,17,22,0.9,0.2962187073722,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",2,33,-639.48612852267,,,0.0118203015223804
0.0344827586206897,5,13,14,9.65643188328395,0.117107057700429,0.997907836131217,0.0595221758757388,0.680033240083499,1.09,1.09,0.2,0.125,88.9188534754015,8e+06,63043.8592988993,6234.54095048749,0,17,22,0.9,0.292535731837464,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",1,34,-632.264709288928,,,0.00784340742178164
0.0689655172413793,5,13,14,20.0713517868955,0.0514866779497215,0.521478575174258,0.120476069429505,0.629931312365687,1.09,1.09,0.2,0.125,1211.15958042836,8e+06,10499.512317644,6045.24454409507,0,17,22,0.9,0.306887022891671,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",2,34,-640.765620647427,,,0.0119092865649945
0.0689655172413793,5,13,14,5.0746179644964,0.131833834621959,0.84296346723532,0.150656725881118,0.187749580858856,1.09,1.09,0.2,0.125,815.32293510639,8e+06,50339.1764069472,11305.2572284012,0,17,22,0.9,0.27916865369854,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",1,35,-629.182851267669,,,0.00939632667114867
0.0689655172413793,5,13,14,11.6468510601656,0.0965097327803492,0.979956167658952,0.0655689886437652,0.61600166555551,1.09,1.09,0.2,0.125,135.243209194048,8e+06,30730.2917876281,10478.4311716014,0,17,22,0.9,0.29511643516376,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",2,35,-637.173443524987,,,0.0103582689826778
0.0689655172413793,5,13,14,12.2036032384904,0.133004214588429,0.0943549984515303,0.21716304026306,0.207126366319648,1.09,1.09,0.2,0.125,15.1319532223839,8e+06,41653.6741038372,6531.89535063845,0,17,22,0.9,0.281696503579753,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",1,36,-635.574656239726,,,0.00996111219058009
0.0689655172413793,5,13,14,13.7971693020432,0.0905082881404119,0.933244159242964,0.0688895671516939,0.56026892843141,1.09,1.09,0.2,0.125,908.456798356192,8e+06,13226.8305235952,13567.7158751786,0,17,22,0.9,0.302495541842338,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",2,36,-643.926477324853,,,0.00981132888182209
