"Y","times","obs_prop_positive"
0,1,NA
0,2,0
3,3,0.375
6,4,0.166666666666667
1,5,0.0222222222222222
12,6,0.1875
4,7,0.0634920634920635
7,8,0.0538461538461538
7,9,0.0395480225988701
34,10,0.195402298850575
28,11,0.0754716981132075
94,12,0.136034732272069
173,13,0.338551859099804
179,14,0.217233009708738
329,15,0.369248035914703
476,16,0.215970961887477
1273,17,0.380681818181818
2050,18,0.423203963666391
2388,19,0.470356509749852
1435,20,0.207160386891872
1560,21,0.235863320229816
1732,22,0.321514757750139
3112,23,0.547309180443194
4744,24,0.682099209202013
2696,25,0.38942654918388
2704,26,0.340211373930549
5900,27,0.819216884198834
5433,28,0.87614900822448
3917,29,0.395976546704408
6875,30,0.937798390396944
6490,31,0.863836017569546
4562,32,0.487236996689095
5765,33,0.512535561877667
4623,34,0.591630406961863
5977,35,0.734907168326571
4325,36,0.482754771737917
7008,37,0.662883087400681
3601,38,0.336667913238594
5209,39,0.472385961730298
6349,40,0.539789151504846
2364,41,0.219233979412037
3607,42,0.447907612070036
4012,43,0.460619977037887
3257,44,0.200925354719309
6057,45,0.483631427658895
4975,46,0.423188159237836
3695,47,0.317140159642949
3289,48,0.320221984227436
2584,49,0.331367017183893
3370,50,0.381696681390871
3098,51,0.275255442025766
3735,52,0.27948219096079
2423,53,0.133756555340878
2157,54,0.125130525583014
2300,55,0.169566499557653
2525,56,0.239540840527464
1919,57,0.193995147594015
1848,58,0.131371294519087
2402,59,0.168419576496985
1605,60,0.118941751889729
1658,61,0.100778020909312
1585,62,0.118646605284827
1925,63,0.209626483719917
2196,64,0.203013774614033
2624,65,0.201134447340181
1331,66,0.0813122365446881
2298,67,0.149609375
1285,68,0.0819463044448696
1897,69,0.14496408375363
1399,70,0.141441714690122
1147,71,0.120142453126637
1507,72,0.102148715515488
757,73,0.041029810298103
1312,74,0.0663531077732261
1262,75,0.0686578532179968
910,76,0.0596486628211851
1007,77,0.0915954156812807
1260,78,0.0965591233044678
1240,79,0.0795432676887549
814,80,0.0384906374125213
862,81,0.0448631206411991
920,82,0.0440001913051796
1038,83,0.0472569997723651
662,84,0.0414501283576482
719,85,0.0451689910792813
1054,86,0.0601460853686373
462,87,0.0134961439588689
499,88,0.0146351478179259
779,89,0.0272587304919868
