"Y","times","obs_prop_positive"
0,1,NA
0,2,0
1,3,0.125
0,4,0
3,5,0.0666666666666667
8,6,0.125
11,7,0.174603174603175
15,8,0.115384615384615
30,9,0.169491525423729
22,10,0.126436781609195
26,11,0.0700808625336927
54,12,0.0781476121562952
182,13,0.356164383561644
132,14,0.160194174757282
289,15,0.324354657687991
310,16,0.14065335753176
1566,17,0.468301435406699
1300,18,0.268373245251858
1195,19,0.235375221587552
1363,20,0.196766276887542
3179,21,0.480647112186272
3733,22,0.69296454427325
5408,23,0.951107984523391
4619,24,0.66412652767793
3283,25,0.474216380182002
3243,26,0.408027176648213
3211,27,0.445848375451264
6236,28,1.00564425092727
6012,29,0.607763849575415
4645,30,0.633610694311826
5537,31,0.736989218687608
6506,32,0.694862757663142
7563,33,0.672386201991465
4923,34,0.630023035577169
6839,35,0.840895118652404
6747,36,0.753097443911151
4989,37,0.471906923950057
5744,38,0.537023186237846
2732,39,0.247755509204679
4991,40,0.424332596497194
4069,41,0.37735324121302
2762,42,0.342977772258786
4502,43,0.516877152698048
5301,44,0.327020357803825
4605,45,0.367694027467263
3848,46,0.327322218441647
4428,47,0.380053214316368
3402,48,0.331223834095998
5659,49,0.725698897153116
3178,50,0.35995016423151
2813,51,0.2499333629498
3722,52,0.278509428314876
2576,53,0.142202594534916
2383,54,0.13824109525467
2321,55,0.171114715423179
2826,56,0.26809600607153
2370,57,0.239587545491306
2811,58,0.199829387929196
1143,59,0.080143037442154
1931,60,0.14310063732029
1485,61,0.0902625820568928
1254,62,0.0938693015944307
1085,63,0.118153109005772
2151,64,0.198853656281779
1102,65,0.0844703357350912
2190,66,0.133789480114851
1700,67,0.110677083333333
1239,68,0.0790128180600727
1671,69,0.127693718477763
764,70,0.0772419371145486
1311,71,0.137320624279878
1539,72,0.104317765878126
1297,73,0.0702981029810298
1476,74,0.0746472462448794
1853,75,0.100810619661607
724,76,0.0474567383324594
925,77,0.0841368018919411
1463,78,0.112115870947965
1241,79,0.0796074154852781
881,80,0.0416587857007755
1409,81,0.073331945456438
678,82,0.0324262279401215
889,83,0.0404734805372183
707,84,0.0442677352701772
738,85,0.0463626083678854
550,86,0.0313855284181694
1026,87,0.0299719560645011
789,88,0.0231405443453778
654,89,0.0228847365106026
