"M_0","V_0","K_0","R_0","b_q","b_a","b_p","p_S","p_H_cond_S","phi_E","phi_U","phi_S","h_V","gamma","N_0","E_0","z_0","C_0","social_distancing_start_time","quarantine_start_time","PCR_sens","sigma_M","beta_w_3","beta_w_2","beta_w_1","beta_w_0","g_0","g_F","sigma_epsilon","G_w_y_scaling","msg","iter_num","param_index","loglik","nfail","trace_num","loglist.se"
"5","13","14","1.36333794323777","0.0291252890126664","1.58696275603487e-05","0","0.061237716837234","0.0123438682781141","1.09","1.09","0.2","0.125","0.274016796517574","8e+06","0.240524441446674","92.0627825654299","0","17","22","0.9","0.274605357641253","0.01215073","0.9810086","-37.23481","229.4094","1183.3","0.1162005","109.1121","0.162","mif1","1","1","-649.047943513768",NA,NA,"0.00148827518546244"
"5","13","14","197.245112021357","0.346671137361952","0.999976557475832","0","0.999977549012282","0.992354095734254","1.09","1.09","0.2","0.125","215.30965271364","8e+06","48432.3530758589","36437.9721232921","0","17","22","0.9","0.360983462953351","0.01215073","0.9810086","-37.23481","229.4094","1183.3","0.1162005","109.1121","0.162","mif1","50","500","-629.053294496352",NA,NA,"0.332468135369158"
