"M_0","V_0","K_0","R_0","b_q","b_a","b_p","p_S","p_H_cond_S","phi_E","phi_U","phi_S","h_V","gamma","N_0","E_0","z_0","C_0","social_distancing_start_time","quarantine_start_time","PCR_sens","sigma_M","beta_w_3","beta_w_2","beta_w_1","beta_w_0","g_0","g_F","sigma_epsilon","G_w_y_scaling","msg","iter_num","param_index","loglik","nfail","trace_num","loglist.se"
"5","13","14","1.45857863869108","0.0286274413726907","1.66692011979627e-05","0","0.0662043493422296","0.0216811911017459","1.09","1.09","0.2","0.125","0.628394822633351","8e+06","0.240490629771116","162.004271252437","0","17","22","0.9","0.267493748556871","0.01215073","0.9810086","-37.23481","229.4094","1183.3","0.1162005","109.1121","0.162","mif1","1","1","-641.479416477345",NA,NA,"0.000730811030392678"
"5","13","14","184.390571601786","0.351655348931288","0.999988656757297","0","0.999988876166497","0.83366345250822","1.09","1.09","0.2","0.125","107.66222304654","8e+06","39932.2869838187","30522.6781254533","0","17","22","0.9","0.349988926978497","0.01215073","0.9810086","-37.23481","229.4094","1183.3","0.1162005","109.1121","0.162","mif1","50","500","-621.485519907365",NA,NA,"0.0992799773494885"
