"Week_Ending_in_Date","CDC_Week","Confirmed_Flu_Cases","Year","Week"
2020-01-11,2,6218,2020,2
2020-01-18,3,7716,2020,3
2020-01-25,4,8307,2020,4
2020-02-01,5,8601,2020,5
2020-02-08,6,7913,2020,6
2020-02-15,7,5819,2020,7
2020-02-22,8,3544,2020,8
2020-02-29,9,2700,2020,9
2020-03-07,10,2413,2020,10
2020-03-14,11,1868,2020,11
2020-03-21,12,760,2020,12
2020-03-28,13,135,2020,13
2020-04-04,14,46,2020,14
2020-04-11,15,35,2020,15
