"G_w_y_scaling","M_0","V_0","K_0","R_0","b_q","b_a","b_p","p_S","p_H_cond_S","phi_E","phi_U","phi_S","h_V","gamma","N_0","E_0","z_0","C_0","social_distancing_start_time","quarantine_start_time","PCR_sens","sigma_M","beta_w_3","beta_w_2","beta_w_1","beta_w_0","g_0","g_F","sigma_epsilon","msg","iter_num","param_index","loglik","nfail","trace_num","loglist.se"
0,5,13,14,253.64650671299,0.258914834106989,0.739051405222173,0,0.645609206020969,0.77408783986449,1.09,1.09,0.2,0.125,48.7191644530531,8e+06,13085.4926941178,28654.2857827053,0,17,22,0.9,1.31667210352059,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,"mif1",1,1,-763.148241664522,,,0.000166793977143289
0,5,13,14,11.8385167468509,0.131347036695997,0.264539214815438,0,0.145796090752043,0.243088342310159,1.09,1.09,0.2,0.125,40.9390495330147,8e+06,50487.3350307273,11457.9611152646,0,17,22,0.9,0.433275457853528,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,"mif1",2,1,-685.685259675617,,,0.00123632093066095
0,5,13,14,216.594749963424,0.152119015854472,0.843291594936992,0,0.948767487937345,0.805073960069309,1.09,1.09,0.2,0.125,200.860049347748,8e+06,26161.9736920026,4077.08462714106,0,17,22,0.9,1.30870278895469,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,"mif1",1,2,-763.030706487561,,,0.000190239158221751
0,5,13,14,7.88906438330614,0.0965462549808836,0.792068375553011,0,0.127020338580414,0.90977251442727,1.09,1.09,0.2,0.125,58.4538885117734,8e+06,786.82288363407,25646.3791503394,0,17,22,0.9,0.444899615209068,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,"mif1",2,2,-687.658965639003,,,0.000869426884242077
0,5,13,14,11.3396022884973,0.0979568019055663,0.516217620778217,0,0.120593802885206,0.885759003095831,1.09,1.09,0.2,0.125,8.64507595409822,8e+06,21721.2554515703,17574.540473663,0,17,22,0.9,0.435133304336758,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,"mif1",1,3,-687.911576428153,,,0.000635398102932288
0,5,13,14,5.32469086502565,0.158435141733504,0.903708164183411,0,0.0784481420572248,0.281794950121362,1.09,1.09,0.2,0.125,54.2355866649748,8e+06,55257.7686618307,41008.9858830446,0,17,22,0.9,0.433246999442318,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,"mif1",2,3,-686.247257538896,,,0.000776332835812553
0,5,13,14,7.87988247989176,0.0830361461480487,0.923786282544092,0,0.349378695385948,0.895831886763276,1.09,1.09,0.2,0.125,1.03611719210464,8e+06,5463.88996886807,7024.20743428444,0,17,22,0.9,0.443301886981227,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,"mif1",1,4,-687.662921245302,,,0.000767618035477399
0,5,13,14,12.0275623454507,0.1425910884915,0.568068503809968,0,0.0595122895750727,0.832184512326273,1.09,1.09,0.2,0.125,19.2979179012748,8e+06,48047.0183951258,33500.6698696291,0,17,22,0.9,0.44313864752753,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,"mif1",2,4,-687.078555365174,,,0.000769137555466499
0,5,13,14,15.4149006175865,0.114073903629588,0.0497255333881671,0,0.23828667528603,0.222610461485938,1.09,1.09,0.2,0.125,37.4532455116812,8e+06,19313.0728124016,14227.1022585068,0,17,22,0.9,0.412891508650463,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,"mif1",1,5,-688.053327059251,,,0.000970264522911554
0,5,13,14,20.2121047330708,0.0740098453819414,0.846039697400597,0,0.0633016136057931,0.567731127196999,1.09,1.09,0.2,0.125,43.258497295216,8e+06,12398.986221339,5823.73066786318,0,17,22,0.9,0.414921800349146,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,"mif1",2,5,-685.045589945213,,,0.00240737820918285
0,5,13,14,1.60156478820699,0.278915064941247,0.59604459872275,0,0.971869579282526,0.196545009382132,1.09,1.09,0.2,0.125,360.282191881494,8e+06,32767.2936357977,13243.25080698,0,17,22,0.9,0.432774785936131,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,"mif1",1,6,-688.362767589813,,,0.000753872644863258
