"b_a","M_0","V_0","K_0","R_0","b_q","b_p","p_S","p_H_cond_S","phi_E","phi_U","phi_S","h_V","gamma","N_0","E_0","z_0","C_0","social_distancing_start_time","quarantine_start_time","PCR_sens","sigma_M","beta_w_3","beta_w_2","beta_w_1","beta_w_0","g_0","g_F","sigma_epsilon","G_w_y_scaling","msg","iter_num","param_index","loglik","nfail","trace_num","loglist.se"
0,5,13,14,96.0899791177171,0.0481858131555049,0.0156831108268827,0.122026583349123,0.580356826732043,1.09,1.09,0.2,0.125,20.7424170874343,8e+06,7990.0434471106,7114.60213822378,0,17,22,0.9,0.281222285900412,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",1,1,-629.492114177092,,,0.00615394323924592
0,5,13,14,19.098148367544,0.13911091518429,0.0616282764951145,0.181875693593608,0.139721795940479,1.09,1.09,0.2,0.125,213.891055285078,8e+06,38182.5324642929,15011.3713666617,0,17,22,0.9,0.271369728553705,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",2,1,-622.163928738446,,,0.00375500967839355
0,5,13,14,159.875349514831,0.0777644810501178,0.0117858888910274,0.0758105363539313,0.548755885891301,1.09,1.09,0.2,0.125,4.05772106239582,8e+06,21117.1869155187,10253.2244368644,0,17,22,0.9,0.275184930176372,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",1,2,-624.292608002372,,,0.00325732925866714
0,5,13,14,30.5241118587616,0.0637716052730955,0.158705883636528,0.219453089503659,0.690813392259115,1.09,1.09,0.2,0.125,10.7787073798327,8e+06,14106.3077076308,1668.83232387161,0,17,22,0.9,0.284257611050248,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",2,2,-634.230152052414,,,0.00794042565737684
0,5,13,14,14.2156205829119,0.137167746269987,0.0679877599176652,0.240205052839779,0.137701875791098,1.09,1.09,0.2,0.125,79.55754197651,8e+06,31555.1605429126,10593.7785226729,0,17,22,0.9,0.271216821893673,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",1,3,-621.703251770432,,,0.00321846139355394
0,5,13,14,132.517469033045,0.0790522595514064,0.0390875591687288,0.0794952532567871,0.538593139785774,1.09,1.09,0.2,0.125,4.65338962574269,8e+06,13185.4032128563,12507.5717265383,0,17,22,0.9,0.282005787211121,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",2,3,-626.212200768396,,,0.00423240534756009
0,5,13,14,73.8735136618053,0.0802594911508933,0.107341017911948,0.0938162062917638,0.597983671988073,1.09,1.09,0.2,0.125,35.5158673814555,8e+06,23455.3436248801,6413.00217813288,0,17,22,0.9,0.273674256690432,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",1,4,-626.506085453882,,,0.00379518118736796
0,5,13,14,10.421973736866,0.13134172350365,0.231630619254454,0.307465884144587,0.10846091503057,1.09,1.09,0.2,0.125,29.1628583998447,8e+06,9904.6525787909,16063.5915642989,0,17,22,0.9,0.28031519868148,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",2,4,-628.047767030496,,,0.00627445065923673
0,5,13,14,19.5009326825888,0.129302978883037,0.0209868245550873,0.201671284625512,0.146146431631115,1.09,1.09,0.2,0.125,17.5131393033732,8e+06,34250.0526992246,12265.7242753089,0,17,22,0.9,0.271590039433245,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",1,5,-623.199598321544,,,0.00218674550781758
0,5,13,14,5.37231237071995,0.150097507855785,0.663593558561516,0.468421146300373,0.13030201550185,1.09,1.09,0.2,0.125,18.2696698465662,8e+06,15538.1049804569,5875.60544452552,0,17,22,0.9,0.26997034019106,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",2,5,-630.077214517066,,,0.00358475945453534
0,5,13,14,145.047670569764,0.0826129596251479,0.0175317124636071,0.0748768731301185,0.559032821882628,1.09,1.09,0.2,0.125,130.824152257467,8e+06,25658.4136864106,9709.4746182825,0,17,22,0.9,0.274960875166664,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",1,6,-624.596538621672,,,0.00366400719932335
0,5,13,14,3.4117304013659,0.127800398878339,0.892124703527085,0.863558746676318,0.106731889036332,1.09,1.09,0.2,0.125,418.109099161165,8e+06,2143.97279753102,6089.20711668144,0,17,22,0.9,0.27890152866406,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",2,6,-630.35064853222,,,0.00400920180250321
0,5,13,14,7.74806200225839,0.126575305341582,0.0768479524377478,0.45955036597366,0.146722182637156,1.09,1.09,0.2,0.125,375.160978600326,8e+06,16958.7502405083,5028.74638164877,0,17,22,0.9,0.270422403640355,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",1,7,-621.747677860493,,,0.00306537789905714
0,5,13,14,120.270033930035,0.072347447735746,0.0367962011653481,0.0840652661324861,0.56490027549018,1.09,1.09,0.2,0.125,9.22979641749832,8e+06,20026.7435378973,8686.43043228153,0,17,22,0.9,0.276069104200551,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",2,7,-623.602663027195,,,0.00304039001152773
0,5,13,14,5.53979128313038,0.207171295822961,0.980368747421067,0.244411579669694,0.114578108118081,1.09,1.09,0.2,0.125,238.699024133148,8e+06,35075.3246365989,12960.5465827694,0,17,22,0.9,0.273233555530539,0.01215073,0.9810086,-37.23481,229.4094,1183.3,0.1162005,109.1121,0.162,"mif1",1,8,-624.639557402905,,,0.00231273256152656
